destination,Country,Continent,type,cost,Best Season,rating,Annual Visitors (M),UNESCO Site,activities,duration,total_cost,type_encoded,continent_encoded
Hidden Park,Greece,Europe,City,131.41,Winter,4.2,1.15,No,"Surfing,Beach Volley",14,1839.74,2,2
Serene Temple,Morocco,Africa,Adventure,152.83,Winter,4.7,9.68,No,Skiing,6,916.98,0,0
Sacred Ruins,Italy,Europe,Nature,59.88,Spring,4.3,5.31,No,Beach Volley,11,658.6800000000001,4,2
Crystal Forest,Peru,South America,Religious,103.03,Spring,4.5,6.59,Yes,"Shopping,Sightseeing",4,412.12,5,5
Grand Beach,Kenya,Africa,Beach,177.01,Winter,4.1,6.68,No,"Shopping,Surfing",8,1416.08,1,0
Mystic Temple,Brazil,South America,Religious,139.33,Winter,4.9,1.05,No,Beach Volley,14,1950.6200000000001,5,5
Grand Pagoda,Germany,Europe,Religious,121.82,Spring,4.4,1.65,No,Surfing,10,1218.1999999999998,5,2
Grand Pagoda,Germany,Europe,Nature,119.33,Spring,4.4,7.08,No,Trekking,7,835.31,4,2
Crystal Falls,Spain,Europe,Religious,150.78,Summer,4.3,9.97,No,Food Tour,5,753.9,5,2
Ancient Pagoda,India,Asia,Adventure,171.85,Spring,4.9,3.41,No,Shopping,8,1374.8,0,1
Sacred Plaza,Morocco,Africa,Religious,174.98,Spring,5.0,4.55,No,Shopping,5,874.9,5,0
Hidden Canyon,Canada,North America,Adventure,81.66,Winter,4.4,3.99,No,"Sightseeing,Surfing,Skiing",12,979.92,0,3
Lush Falls,Peru,South America,Nature,210.39,Winter,4.4,7.47,No,"Trekking,Food Tour,Shopping",14,2945.46,4,5
Lush Beach,Kenya,Africa,Beach,121.17,Summer,3.7,0.68,Yes,"Shopping,Skiing,Beach Volley",14,1696.38,1,0
Grand Temple,Greece,Europe,City,193.16,Autumn,4.3,1.8,No,"Shopping,Skiing",3,579.48,2,2
Crystal Valley,Germany,Europe,Religious,76.05,Spring,4.6,0.62,Yes,"Sightseeing,Trekking",9,684.4499999999999,5,2
Mystic Beach,Morocco,Africa,Historical,100.29,Spring,4.5,5.71,Yes,"Trekking,Sightseeing,Food Tour",4,401.16,3,0
Serene Plaza,China,Asia,Religious,209.83,Spring,4.5,1.43,No,"Shopping,Skiing",12,2517.96,5,1
Lush Valley,Morocco,Africa,Beach,90.35,Summer,4.5,3.58,Yes,"Food Tour,Sightseeing,Beach Volley",13,1174.55,1,0
Lush Beach,Germany,Europe,Nature,141.35,Winter,5.0,4.07,No,Sightseeing,4,565.4,4,2
Grand Ruins,France,Europe,Religious,106.26,Spring,3.8,7.96,No,Sightseeing,9,956.34,5,2
Ancient Valley,Vietnam,Asia,Beach,116.55,Winter,4.8,7.04,No,Shopping,6,699.3,1,1
Mystic Ruins,Peru,South America,Historical,70.04,Spring,4.4,8.49,Yes,Beach Volley,8,560.32,3,5
Mystic Pagoda,Spain,Europe,Nature,257.87,Summer,4.3,6.76,No,Beach Volley,7,1805.0900000000001,4,2
Mystic Plaza,Japan,Asia,Religious,163.83,Winter,4.7,6.33,No,"Sightseeing,Trekking",12,1965.96,5,1
Ancient Valley,Egypt,Africa,Religious,151.6,Autumn,4.3,1.93,No,"Museum,Shopping,Trekking",13,1970.8,5,0
Grand Falls,Germany,Europe,Beach,154.43,Autumn,5.0,6.96,No,"Skiing,Museum,Shopping",14,2162.02,1,2
Serene Forest,Germany,Europe,City,131.73,Spring,4.6,1.18,No,"Food Tour,Shopping",9,1185.57,2,2
Golden Canyon,Egypt,Africa,Nature,109.88,Spring,4.9,3.32,No,Food Tour,11,1208.6799999999998,4,0
Crystal Beach,Canada,North America,Nature,210.02,Winter,4.3,6.78,No,"Food Tour,Skiing,Museum",12,2520.2400000000002,4,3
Lush Park,Mexico,North America,Adventure,127.43,Autumn,4.4,1.43,Yes,"Shopping,Food Tour",8,1019.44,0,3
Hidden Ruins,Spain,Europe,Nature,209.29,Summer,4.7,3.02,No,"Shopping,Beach Volley,Skiing",11,2302.19,4,2
Mystic Pagoda,China,Asia,Nature,180.36,Autumn,4.9,4.13,No,Surfing,6,1082.16,4,1
Serene Beach,Spain,Europe,Beach,133.87,Summer,4.4,6.34,Yes,"Surfing,Museum",12,1606.44,1,2
Sacred Plaza,Italy,Europe,Adventure,182.08,Spring,4.9,5.54,No,Trekking,9,1638.72,0,2
Sacred Forest,Thailand,Asia,Religious,117.82,Autumn,4.8,9.81,Yes,Museum,13,1531.6599999999999,5,1
Ancient Forest,Egypt,Africa,City,222.78,Spring,5.0,7.61,Yes,Shopping,10,2227.8,2,0
Ancient Canyon,Canada,North America,City,176.91,Spring,4.8,1.72,No,"Shopping,Museum,Skiing",8,1415.28,2,3
Ancient Plaza,Thailand,Asia,Religious,177.84,Winter,4.4,2.63,Yes,Trekking,12,2134.08,5,1
Mystic Valley,Greece,Europe,Adventure,97.76,Summer,3.9,4.67,No,"Shopping,Museum,Surfing",3,293.28000000000003,0,2
Mystic Pagoda,France,Europe,Religious,178.97,Winter,4.5,2.79,No,Trekking,14,2505.58,5,2
Mystic Canyon,Japan,Asia,Nature,138.94,Spring,4.4,8.93,Yes,"Trekking,Food Tour,Shopping",5,694.7,4,1
Crystal Forest,Greece,Europe,Beach,82.97,Spring,4.8,8.25,No,Beach Volley,6,497.82,1,2
Sacred Falls,Spain,Europe,Historical,141.64,Summer,4.6,7.67,No,Beach Volley,4,566.56,3,2
Crystal Valley,Italy,Europe,Adventure,210.69,Winter,4.5,7.42,No,"Food Tour,Skiing,Trekking",6,1264.1399999999999,0,2
Sacred Beach,South Africa,Africa,Religious,183.14,Summer,4.9,2.19,Yes,"Shopping,Sightseeing",7,1281.98,5,0
Hidden Plaza,Italy,Europe,Beach,166.31,Winter,4.5,9.41,Yes,Skiing,7,1164.17,1,2
Grand Temple,Germany,Europe,City,169.98,Summer,4.3,8.27,No,"Surfing,Beach Volley,Trekking",6,1019.8799999999999,2,2
Hidden Canyon,Peru,South America,City,151.52,Autumn,4.1,8.49,No,"Museum,Trekking",3,454.56000000000006,2,5
Golden Ruins,Spain,Europe,Nature,165.44,Spring,5.0,6.11,Yes,Skiing,11,1819.84,4,2
Ancient Pagoda,Mexico,North America,Nature,55.04,Summer,4.5,5.87,No,Surfing,8,440.32,4,3
Lush Beach,Argentina,South America,Historical,187.67,Spring,4.6,6.54,Yes,Shopping,7,1313.6899999999998,3,5
Crystal Park,Japan,Asia,City,118.88,Spring,4.6,4.88,No,Sightseeing,5,594.4,2,1
Lush Temple,Mexico,North America,Adventure,139.55,Spring,4.2,8.1,No,Sightseeing,14,1953.7000000000003,0,3
Grand Beach,New Zealand,Oceania,City,163.03,Winter,4.1,7.46,Yes,"Museum,Trekking",14,2282.42,2,4
Golden Falls,Mexico,North America,Nature,90.21,Spring,4.6,3.88,No,"Sightseeing,Shopping",8,721.68,4,3
Crystal Valley,France,Europe,Religious,163.9,Autumn,4.9,0.55,No,"Museum,Skiing",6,983.4000000000001,5,2
Golden Ruins,Canada,North America,Nature,110.76,Winter,4.7,9.6,No,"Trekking,Food Tour",6,664.5600000000001,4,3
Sacred Plaza,Brazil,South America,Beach,77.51,Summer,4.2,1.91,No,Beach Volley,3,232.53000000000003,1,5
Sacred Ruins,Japan,Asia,Adventure,186.12,Summer,4.4,9.97,No,Museum,13,2419.56,0,1
Golden Plaza,Morocco,Africa,Adventure,109.14,Summer,3.9,7.36,No,"Skiing,Food Tour",4,436.56,0,0
Hidden Plaza,Kenya,Africa,City,161.23,Winter,4.8,4.22,Yes,"Sightseeing,Surfing",6,967.3799999999999,2,0
Ancient Temple,Peru,South America,Historical,234.05,Autumn,4.3,0.53,Yes,"Museum,Beach Volley",12,2808.6000000000004,3,5
Mystic Pagoda,Germany,Europe,Nature,73.72,Summer,4.9,8.04,Yes,"Surfing,Shopping,Museum",9,663.48,4,2
Hidden Temple,India,Asia,Historical,159.06,Autumn,4.2,5.07,Yes,"Trekking,Beach Volley",5,795.3,3,1
Ancient Valley,India,Asia,Historical,121.79,Autumn,4.6,6.01,Yes,Surfing,5,608.95,3,1
Golden Temple,USA,North America,Religious,243.07,Spring,5.0,6.23,No,Sightseeing,4,972.28,5,3
Hidden Plaza,Peru,South America,City,201.2,Summer,4.7,3.06,No,Museum,11,2213.2,2,5
Mystic Beach,Australia,Oceania,Beach,149.65,Spring,4.9,1.23,Yes,Trekking,7,1047.55,1,4
Ancient Ruins,China,Asia,Adventure,141.49,Winter,4.4,7.96,Yes,Sightseeing,11,1556.39,0,1
Serene Ruins,Greece,Europe,Beach,197.39,Summer,4.7,5.41,No,"Trekking,Surfing",14,2763.46,1,2
Ancient Park,Canada,North America,Adventure,92.92,Spring,4.4,3.62,No,Museum,4,371.68,0,3
Ancient Temple,South Africa,Africa,Historical,107.84,Summer,4.5,2.6,Yes,"Museum,Surfing",13,1401.92,3,0
Hidden Valley,Morocco,Africa,Adventure,225.67,Winter,4.7,9.98,Yes,"Trekking,Shopping",13,2933.71,0,0
Grand Plaza,Italy,Europe,Adventure,159.49,Summer,4.7,4.5,Yes,Shopping,10,1594.9,0,2
Mystic Falls,Vietnam,Asia,Beach,211.05,Autumn,4.7,1.62,No,"Sightseeing,Trekking,Shopping",5,1055.25,1,1
Mystic Beach,Canada,North America,City,207.37,Spring,4.4,4.15,Yes,"Museum,Trekking,Sightseeing",6,1244.22,2,3
Lush Plaza,Egypt,Africa,Nature,244.23,Winter,5.0,2.25,No,"Shopping,Food Tour",4,976.92,4,0
Grand Ruins,New Zealand,Oceania,Adventure,79.46,Summer,4.1,0.75,Yes,"Food Tour,Trekking,Beach Volley",8,635.68,0,4
Sacred Beach,Thailand,Asia,City,157.04,Winter,4.0,3.34,No,"Shopping,Surfing",10,1570.3999999999999,2,1
Lush Falls,China,Asia,Religious,201.65,Spring,4.4,8.5,No,Shopping,5,1008.25,5,1
Mystic Beach,South Africa,Africa,Nature,175.68,Spring,4.3,4.85,No,"Food Tour,Skiing,Sightseeing",12,2108.16,4,0
Crystal Beach,Peru,South America,Nature,94.43,Winter,4.5,1.27,Yes,"Food Tour,Surfing,Museum",11,1038.73,4,5
Serene Ruins,Vietnam,Asia,Nature,148.62,Spring,5.0,4.65,No,"Food Tour,Beach Volley,Museum",5,743.1,4,1
Golden Temple,Greece,Europe,City,195.01,Winter,4.7,2.01,Yes,Shopping,6,1170.06,2,2
Mystic Ruins,South Africa,Africa,Adventure,100.08,Spring,4.6,7.64,No,"Trekking,Food Tour",4,400.32,0,0
Hidden Park,Mexico,North America,Nature,167.67,Spring,4.5,1.16,No,"Skiing,Shopping,Food Tour",3,503.01,4,3
Mystic Park,France,Europe,Religious,144.99,Spring,4.4,2.99,No,"Skiing,Food Tour,Trekking",13,1884.8700000000001,5,2
Golden Valley,Canada,North America,Adventure,167.75,Spring,4.4,2.87,Yes,"Sightseeing,Surfing",13,2180.75,0,3
Lush Beach,Italy,Europe,City,195.68,Winter,4.3,4.77,Yes,"Museum,Food Tour,Sightseeing",9,1761.1200000000001,2,2
Hidden Ruins,Peru,South America,Nature,123.7,Winter,4.5,1.1,No,"Shopping,Surfing",8,989.6,4,5
Mystic Valley,Peru,South America,Beach,30.0,Summer,4.8,3.8,Yes,"Food Tour,Beach Volley",14,420.0,1,5
Grand Park,Australia,Oceania,Historical,162.35,Summer,4.5,5.82,No,"Skiing,Shopping",11,1785.85,3,4
Mystic Plaza,Greece,Europe,Historical,71.87,Spring,4.3,7.44,No,Sightseeing,11,790.57,3,2
Sacred Park,Morocco,Africa,Adventure,94.48,Spring,4.7,5.87,Yes,Museum,14,1322.72,0,0
Crystal Ruins,Japan,Asia,City,173.32,Winter,4.5,6.28,No,"Museum,Sightseeing,Trekking",10,1733.1999999999998,2,1
Grand Park,USA,North America,Religious,109.58,Summer,4.4,1.94,No,"Skiing,Food Tour,Shopping",12,1314.96,5,3
Serene Park,Italy,Europe,City,113.27,Spring,4.3,8.58,No,"Shopping,Trekking",11,1245.97,2,2
Ancient Temple,Greece,Europe,Adventure,200.88,Winter,5.0,1.59,No,Beach Volley,12,2410.56,0,2
Ancient Falls,Japan,Asia,Historical,171.44,Winter,4.7,1.14,No,"Beach Volley,Shopping,Trekking",8,1371.52,3,1
Ancient Falls,India,Asia,Beach,168.97,Spring,5.0,1.28,Yes,Beach Volley,9,1520.73,1,1
Lush Plaza,Brazil,South America,Beach,96.39,Summer,3.6,2.07,Yes,"Skiing,Shopping,Museum",8,771.12,1,5
Hidden Forest,USA,North America,Adventure,127.58,Autumn,5.0,4.41,No,"Food Tour,Surfing",7,893.06,0,3
Serene Ruins,China,Asia,Beach,180.96,Autumn,5.0,1.09,No,"Shopping,Trekking,Surfing",11,1990.5600000000002,1,1
Hidden Canyon,India,Asia,Beach,219.86,Summer,4.5,4.86,Yes,"Trekking,Skiing",11,2418.46,1,1
Grand Ruins,Greece,Europe,Beach,117.7,Spring,4.3,2.06,Yes,Beach Volley,4,470.8,1,2
Lush Beach,Spain,Europe,Nature,208.1,Summer,4.3,5.43,No,"Sightseeing,Shopping,Beach Volley",5,1040.5,4,2
Grand Ruins,Thailand,Asia,Religious,166.15,Winter,4.4,8.86,No,Surfing,10,1661.5,5,1
Serene Plaza,Italy,Europe,Beach,131.98,Spring,4.7,4.79,Yes,Sightseeing,5,659.9,1,2
Crystal Temple,New Zealand,Oceania,Religious,194.16,Spring,4.5,5.62,No,Trekking,11,2135.7599999999998,5,4
Lush Ruins,Greece,Europe,Beach,101.33,Autumn,4.5,6.74,No,"Shopping,Surfing",4,405.32,1,2
Crystal Park,Italy,Europe,Historical,128.68,Summer,4.8,7.87,No,Surfing,8,1029.44,3,2
Mystic Canyon,Vietnam,Asia,City,58.46,Summer,4.6,8.03,Yes,"Sightseeing,Beach Volley",4,233.84,2,1
Grand Pagoda,Spain,Europe,Adventure,243.66,Summer,4.8,8.08,No,"Museum,Sightseeing",10,2436.6,0,2
Sacred Plaza,Vietnam,Asia,Religious,188.27,Spring,4.4,5.56,Yes,Surfing,9,1694.43,5,1
Lush Beach,USA,North America,Historical,174.24,Autumn,4.2,8.04,No,"Sightseeing,Shopping,Beach Volley",10,1742.4,3,3
Crystal Park,Brazil,South America,Adventure,191.69,Autumn,4.4,9.11,Yes,"Shopping,Trekking,Beach Volley",13,2491.97,0,5
Hidden Forest,Italy,Europe,City,133.26,Summer,4.4,2.25,Yes,Museum,7,932.8199999999999,2,2
Grand Forest,Thailand,Asia,Nature,164.9,Winter,4.7,1.94,No,"Surfing,Sightseeing,Shopping",8,1319.2,4,1
Serene Pagoda,Thailand,Asia,Nature,253.13,Autumn,4.2,1.29,No,"Food Tour,Beach Volley,Trekking",5,1265.65,4,1
Golden Forest,Argentina,South America,Beach,159.58,Autumn,4.6,5.3,No,"Museum,Skiing,Beach Volley",6,957.48,1,5
Lush Ruins,South Africa,Africa,Nature,146.02,Winter,4.6,9.85,Yes,Museum,9,1314.18,4,0
Grand Valley,USA,North America,City,207.44,Winter,4.9,2.08,Yes,Food Tour,7,1452.08,2,3
Mystic Park,Kenya,Africa,Adventure,140.64,Winter,4.8,2.04,No,"Shopping,Skiing,Beach Volley",10,1406.3999999999999,0,0
Sacred Plaza,Brazil,South America,Historical,151.64,Summer,4.4,5.51,Yes,Food Tour,5,758.1999999999999,3,5
Golden Park,New Zealand,Oceania,Historical,178.98,Spring,4.6,1.25,No,"Trekking,Skiing,Surfing",8,1431.84,3,4
Mystic Ruins,South Africa,Africa,Nature,109.73,Autumn,4.7,8.65,Yes,"Museum,Beach Volley,Sightseeing",7,768.11,4,0
Ancient Canyon,South Africa,Africa,Nature,158.42,Summer,4.9,7.25,No,"Beach Volley,Museum,Surfing",5,792.0999999999999,4,0
Lush Park,New Zealand,Oceania,Historical,134.82,Autumn,3.9,8.31,Yes,Sightseeing,10,1348.1999999999998,3,4
Grand Ruins,Egypt,Africa,Adventure,43.91,Summer,4.3,5.2,Yes,"Sightseeing,Beach Volley",12,526.92,0,0
Hidden Temple,Egypt,Africa,Nature,125.08,Autumn,4.8,2.15,Yes,"Food Tour,Sightseeing,Surfing",5,625.4,4,0
Hidden Beach,Italy,Europe,Religious,192.03,Autumn,4.7,1.46,No,"Museum,Shopping,Skiing",12,2304.36,5,2
Lush Valley,Peru,South America,Historical,121.74,Spring,4.4,3.81,Yes,"Surfing,Beach Volley,Shopping",3,365.21999999999997,3,5
Lush Falls,Mexico,North America,City,230.77,Spring,4.4,6.69,No,"Museum,Trekking,Shopping",8,1846.16,2,3
Ancient Temple,Brazil,South America,Religious,74.08,Autumn,4.9,8.49,No,Trekking,8,592.64,5,5
Sacred Falls,India,Asia,City,170.19,Autumn,4.5,6.52,No,"Beach Volley,Food Tour,Shopping",9,1531.71,2,1
Sacred Plaza,Italy,Europe,Nature,168.62,Winter,4.3,3.59,Yes,"Food Tour,Trekking,Sightseeing",14,2360.6800000000003,4,2
Serene Beach,Germany,Europe,Nature,126.77,Summer,4.6,2.16,Yes,Skiing,9,1140.93,4,2
Hidden Temple,Mexico,North America,Beach,129.9,Autumn,4.7,8.45,Yes,Surfing,11,1428.9,1,3
Ancient Beach,Brazil,South America,Historical,193.56,Autumn,4.1,7.09,No,"Surfing,Museum,Beach Volley",7,1354.92,3,5
Mystic Pagoda,Mexico,North America,Historical,53.19,Autumn,4.5,2.52,No,"Skiing,Beach Volley",6,319.14,3,3
Crystal Valley,South Africa,Africa,Nature,175.7,Spring,4.6,8.78,No,"Museum,Sightseeing",7,1229.8999999999999,4,0
Serene Temple,Argentina,South America,Beach,186.18,Autumn,4.7,6.82,Yes,"Food Tour,Skiing",12,2234.16,1,5
Grand Forest,Morocco,Africa,City,170.49,Winter,4.4,6.87,Yes,Trekking,7,1193.43,2,0
Mystic Ruins,France,Europe,Religious,101.68,Summer,4.5,4.75,No,Shopping,14,1423.52,5,2
Crystal Canyon,Egypt,Africa,Beach,205.35,Winter,4.5,5.69,Yes,"Beach Volley,Surfing,Shopping",7,1437.45,1,0
Serene Pagoda,Thailand,Asia,Adventure,162.65,Spring,4.5,1.55,No,Museum,3,487.95000000000005,0,1
Golden Forest,Argentina,South America,Religious,123.23,Autumn,4.5,7.53,No,Skiing,8,985.84,5,5
Ancient Pagoda,Kenya,Africa,Historical,138.91,Spring,4.6,8.65,Yes,Sightseeing,3,416.73,3,0
Crystal Canyon,Spain,Europe,Historical,175.66,Spring,4.4,7.66,No,"Shopping,Surfing,Trekking",10,1756.6,3,2
Sacred Temple,Morocco,Africa,Religious,194.43,Spring,4.3,3.17,Yes,"Beach Volley,Museum,Trekking",11,2138.73,5,0
Mystic Beach,Italy,Europe,Nature,168.36,Autumn,5.0,1.42,No,Surfing,7,1178.52,4,2
Grand Plaza,Morocco,Africa,Adventure,55.74,Spring,4.4,6.18,Yes,Trekking,8,445.92,0,0
Serene Falls,China,Asia,Religious,97.32,Summer,4.2,7.56,No,"Surfing,Sightseeing",4,389.28,5,1
Hidden Forest,Mexico,North America,Religious,171.42,Autumn,4.8,6.14,No,"Sightseeing,Food Tour,Museum",8,1371.36,5,3
Lush Ruins,Argentina,South America,City,144.78,Winter,4.4,8.05,Yes,Beach Volley,10,1447.8,2,5
Hidden Valley,Brazil,South America,Religious,154.16,Winter,4.4,9.96,No,"Trekking,Surfing,Shopping",12,1849.92,5,5
Crystal Plaza,Mexico,North America,Historical,153.5,Winter,4.8,1.1,No,"Surfing,Skiing,Museum",13,1995.5,3,3
Lush Valley,Peru,South America,Historical,167.38,Spring,4.8,1.59,No,"Sightseeing,Surfing",9,1506.42,3,5
Serene Forest,Vietnam,Asia,Beach,198.76,Summer,4.7,8.85,No,"Food Tour,Shopping,Trekking",6,1192.56,1,1
Grand Beach,Greece,Europe,Religious,182.66,Autumn,5.0,4.59,No,"Food Tour,Sightseeing",4,730.64,5,2
Lush Ruins,Germany,Europe,City,117.3,Winter,4.0,7.85,No,"Sightseeing,Beach Volley,Trekking",8,938.4,2,2
Lush Falls,Peru,South America,Religious,194.29,Winter,4.6,4.71,No,"Museum,Surfing",13,2525.77,5,5
Golden Pagoda,Morocco,Africa,City,230.61,Spring,4.9,6.12,No,"Sightseeing,Trekking",13,2997.9300000000003,2,0
Mystic Pagoda,Brazil,South America,City,99.28,Winter,4.7,5.37,No,Beach Volley,7,694.96,2,5
Grand Plaza,Spain,Europe,City,137.7,Autumn,4.2,5.13,No,"Beach Volley,Surfing,Trekking",6,826.1999999999999,2,2
Serene Falls,Vietnam,Asia,Adventure,171.21,Summer,4.5,6.21,Yes,"Shopping,Skiing",6,1027.26,0,1
Golden Temple,France,Europe,Historical,152.18,Winter,5.0,6.52,Yes,Shopping,13,1978.3400000000001,3,2
Ancient Plaza,Mexico,North America,Religious,144.72,Spring,4.4,3.94,No,Museum,4,578.88,5,3
Golden Canyon,Australia,Oceania,Nature,119.41,Spring,4.5,1.83,Yes,"Trekking,Beach Volley",3,358.23,4,4
Mystic Falls,Argentina,South America,Adventure,138.99,Spring,3.9,2.36,No,"Food Tour,Trekking",4,555.96,0,5
Grand Beach,Vietnam,Asia,Historical,74.76,Winter,4.7,2.47,Yes,Museum,3,224.28000000000003,3,1
Golden Park,Mexico,North America,City,139.75,Winter,4.5,0.57,Yes,"Food Tour,Trekking,Beach Volley",11,1537.25,2,3
Golden Plaza,Australia,Oceania,City,134.54,Summer,4.3,8.12,No,"Beach Volley,Museum",8,1076.32,2,4
Golden Valley,Morocco,Africa,Historical,174.01,Summer,5.0,3.29,No,Surfing,3,522.03,3,0
Grand Pagoda,Morocco,Africa,Beach,141.99,Summer,4.7,1.33,No,"Museum,Beach Volley",12,1703.88,1,0
Mystic Temple,China,Asia,Beach,105.69,Spring,4.6,3.78,No,"Surfing,Shopping,Food Tour",14,1479.6599999999999,1,1
Ancient Forest,Kenya,Africa,Religious,203.8,Summer,4.5,5.19,No,"Skiing,Trekking,Food Tour",9,1834.2,5,0
Ancient Forest,Brazil,South America,Nature,130.04,Winter,4.3,4.25,No,Beach Volley,4,520.16,4,5
Ancient Pagoda,Egypt,Africa,Beach,59.84,Spring,4.0,9.12,Yes,Museum,7,418.88,1,0
Sacred Temple,Canada,North America,Nature,188.6,Winter,5.0,3.44,No,"Food Tour,Trekking",5,943.0,4,3
Golden Forest,Japan,Asia,Religious,125.85,Autumn,4.5,2.95,Yes,"Food Tour,Skiing",3,377.54999999999995,5,1
Golden Beach,Vietnam,Asia,City,157.24,Autumn,4.3,7.02,No,"Food Tour,Surfing,Museum",4,628.96,2,1
Lush Ruins,Kenya,Africa,Beach,136.57,Summer,4.2,4.83,No,"Food Tour,Shopping",9,1229.1299999999999,1,0
Ancient Canyon,Spain,Europe,Nature,105.59,Summer,4.4,4.48,No,Trekking,12,1267.08,4,2
Crystal Canyon,Morocco,Africa,City,143.44,Autumn,4.5,1.26,No,"Skiing,Sightseeing",6,860.64,2,0
Golden Canyon,India,Asia,Beach,175.6,Summer,4.4,6.85,No,"Sightseeing,Trekking,Museum",5,878.0,1,1
Ancient Valley,Japan,Asia,Religious,95.48,Spring,4.9,6.14,No,Surfing,4,381.92,5,1
Mystic Falls,Italy,Europe,Beach,160.34,Winter,4.7,8.8,No,"Trekking,Sightseeing",13,2084.42,1,2
Ancient Falls,Japan,Asia,Adventure,119.38,Spring,4.6,9.07,No,"Sightseeing,Trekking,Food Tour",7,835.66,0,1
Lush Canyon,Peru,South America,City,152.92,Summer,4.3,1.85,No,"Food Tour,Surfing,Skiing",11,1682.12,2,5
Mystic Valley,China,Asia,Religious,148.34,Autumn,4.4,3.3,No,"Shopping,Surfing,Museum",11,1631.74,5,1
Mystic Valley,Germany,Europe,Religious,283.91,Summer,4.4,0.92,No,"Sightseeing,Beach Volley",12,3406.92,5,2
Lush Ruins,Thailand,Asia,Nature,157.99,Autumn,4.2,3.76,No,"Food Tour,Sightseeing,Skiing",5,789.95,4,1
Mystic Pagoda,Egypt,Africa,Adventure,192.77,Spring,4.9,8.53,No,"Surfing,Skiing,Sightseeing",3,578.3100000000001,0,0
Ancient Canyon,Vietnam,Asia,Beach,117.69,Autumn,5.0,6.89,No,"Museum,Food Tour,Shopping",5,588.45,1,1
Sacred Park,Morocco,Africa,Historical,102.81,Summer,4.2,8.0,No,"Beach Volley,Shopping",3,308.43,3,0
Ancient Plaza,South Africa,Africa,City,219.62,Spring,4.4,8.31,No,"Food Tour,Surfing",9,1976.58,2,0
Grand Ruins,Kenya,Africa,Religious,59.03,Winter,4.3,6.03,No,"Beach Volley,Surfing",5,295.15,5,0
Mystic Forest,New Zealand,Oceania,Nature,215.22,Summer,4.0,7.2,Yes,"Sightseeing,Museum",10,2152.2,4,4
Lush Falls,Vietnam,Asia,Adventure,100.66,Winter,4.9,2.09,Yes,"Food Tour,Surfing,Sightseeing",12,1207.92,0,1
Serene Forest,Mexico,North America,Historical,94.71,Spring,4.4,8.96,Yes,Surfing,9,852.39,3,3
Ancient Pagoda,Morocco,Africa,Adventure,101.78,Autumn,4.4,0.74,No,"Sightseeing,Skiing,Trekking",8,814.24,0,0
Lush Pagoda,India,Asia,Nature,215.52,Autumn,4.9,3.74,Yes,Skiing,7,1508.64,4,1
Golden Valley,Peru,South America,Beach,142.47,Autumn,4.3,3.46,No,Beach Volley,5,712.35,1,5
Golden Valley,China,Asia,Adventure,198.24,Summer,5.0,3.96,No,Beach Volley,3,594.72,0,1
Sacred Temple,Egypt,Africa,Nature,244.57,Spring,4.4,1.84,No,Surfing,7,1711.99,4,0
Hidden Beach,Morocco,Africa,Religious,126.31,Autumn,4.5,5.3,No,Surfing,7,884.1700000000001,5,0
Lush Falls,Mexico,North America,Adventure,144.89,Spring,4.6,0.87,No,Shopping,14,2028.4599999999998,0,3
Serene Beach,India,Asia,Beach,145.58,Summer,4.4,2.02,No,"Beach Volley,Sightseeing,Shopping",5,727.9000000000001,1,1
Hidden Valley,Peru,South America,Historical,59.81,Spring,4.4,9.05,No,"Skiing,Trekking,Surfing",10,598.1,3,5
Grand Valley,Italy,Europe,City,184.85,Autumn,4.4,6.23,Yes,Sightseeing,3,554.55,2,2
Grand Temple,Brazil,South America,Nature,73.02,Winter,4.1,3.73,Yes,Beach Volley,4,292.08,4,5
Grand Beach,India,Asia,City,90.3,Spring,4.5,5.76,Yes,Surfing,7,632.1,2,1
Lush Pagoda,Morocco,Africa,Religious,228.64,Summer,4.6,8.42,No,"Sightseeing,Museum",13,2972.3199999999997,5,0
Golden Forest,Kenya,Africa,Nature,59.95,Winter,4.3,2.96,No,Skiing,9,539.5500000000001,4,0
Lush Forest,Italy,Europe,Nature,86.93,Autumn,4.2,9.68,No,"Sightseeing,Beach Volley,Surfing",12,1043.16,4,2
Mystic Valley,USA,North America,Religious,51.04,Winter,4.7,6.01,No,"Trekking,Shopping",9,459.36,5,3
Grand Plaza,China,Asia,Religious,141.41,Spring,4.2,6.45,No,Sightseeing,5,707.05,5,1
Hidden Canyon,Egypt,Africa,Religious,30.0,Winter,4.4,9.94,Yes,"Trekking,Museum",10,300.0,5,0
Sacred Canyon,India,Asia,City,164.59,Winter,4.8,5.91,No,"Sightseeing,Shopping,Museum",11,1810.49,2,1
Crystal Falls,New Zealand,Oceania,Historical,88.52,Winter,4.6,4.25,Yes,"Sightseeing,Surfing",13,1150.76,3,4
Hidden Valley,Kenya,Africa,City,148.49,Winter,4.3,5.66,No,"Trekking,Surfing,Shopping",7,1039.43,2,0
Grand Forest,Japan,Asia,Nature,162.69,Autumn,4.6,5.57,No,Surfing,10,1626.9,4,1
Golden Plaza,Argentina,South America,Adventure,131.91,Summer,4.6,8.05,No,Shopping,6,791.46,0,5
Mystic Canyon,Germany,Europe,Beach,181.08,Summer,4.4,9.47,Yes,"Surfing,Skiing",14,2535.1200000000003,1,2
